Toy Story,A Story of a boy + toys,https://upload.wikimedia.org/wikipedia/en/1/13/Toy_Story.jpg,https://www.youtube.com/watch?v=KYz2wyBy3kc
Avatar,"whee boom zoot suit, blue",https://image.tmdb.org/t/p/original/j49dCo8OL2xPgN4hVddMRCnLBhD.jpg,https://www.youtube.com/watch?v=5PSNL1qE6VY
The Negotiator,Samuel L Jackson and Kevin Spacey Square off in this cop thriller,https://image.tmdb.org/t/p/w640/uA1zKgJVoO0ljbSbKXyek5YbLwv.jpg,https://www.youtube.com/watch?v=LJ1pS1W0XXg
Encino Man,Finding cavemen is fun,https://image.tmdb.org/t/p/original/j1F0EnZKm6VmcpDM1YVGxyyyw8p.jpg,https://youtu.be/1xkTN1Z1rTQ
Enemy at the Gates,I am a stone......,https://image.tmdb.org/t/p/original/dOWSbEn3ucyoiBE9IgFWAo1O7Sg.jpg,https://www.youtube.com/watch?v=xqwlIaOyBSA
Aladdin,"A boy, a genie, and a lamp what could go wrong?",https://image.tmdb.org/t/p/original/liNTanHWvqBXVs6Kdm9Y1qhS3bA.jpg,https://www.youtube.com/watch?v=U8XtRQ5yOVE
